movieid,detail,genres,poster_image,release_date,title
1,따단-딴-따단-딴 ? 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...!,Animation|Adventure|Fantasy|Comedy,https://image.tmdb.org/t/p/w200/dlGyzCxbBQK1U2O5o31Z1hB6erc.jpg,2023-04-05,슈퍼 마리오 브라더스
2,돔과 그의 패밀리 앞에 나타난 운명의 적 단테. 과거의 그림자는 돔의 모든 것을 파괴하기 위해 달려온다. 단테에 의해 산산히 흩어진 패밀리들은 모두 목숨을 걸고 맞서야 하는 함정에 빠지고 마는데…,Action|Crime|Thriller,https://image.tmdb.org/t/p/w200/wXNihLltMCGR7XepN39syIlCt5X.jpg,2023-05-17,분노의 질주: 라이드 오어 다이
3,새로운 스파이더맨 마일스 모랄레스(샤메익 무어)가 수많은 스파이더맨들과 함께 멀티버스 세계 속 다중 우주의 질서를 잡기 위해 빌런과 대결하는 이야기,Action|Adventure|Animation|Science Fiction,https://image.tmdb.org/t/p/w200/zG9TYiHt0fdaJiWuNEhFrfKzwoi.jpg,2023-05-31,스파이더맨: 어크로스 더 유니버스
4,"아틀란티카 바다의 왕 트라이튼의 사랑스러운 막내딸인 인어 에리얼은 늘 인간들이 사는 바다 너머 세상으로의 모험을 꿈꾼다. 어느 날, 우연히 바다 위로 올라갔다가 폭풍우 속 가라앉는 배에 탄 인간 에릭 왕자의 목숨을 구해준다. 갈망하던 꿈과 운명적인 사랑을 이루기 위해 용기를 낸 에리얼은 사악한 바다 마녀 울슐라와의 위험한 거래를 통해 다리를 얻게 된다. 드디어 바다를 벗어나 그토록 원하던 인간 세상으로 가게 되지만, 그 선택으로 에리얼과 아틀란티카 왕국 모두 위험에 처하게 되는데… 바닷속, 그리고 그 너머 아름다운 꿈과 사랑의 멜로디가 펼쳐진다!",Adventure|Fantasy|Romance,https://image.tmdb.org/t/p/w200/8k8tmcx5e6ShpackLnDswBo1tnB.jpg,2023-05-18,인어공주
5,"라플란드의 황야 깊은 곳에서 금을 찾던 아타미 코피는 나치 순찰대를 우연히 만나게 되고, 파괴되고 채굴된 라플란드 황야를 가로지르는 숨막히는 추격전이 시작된다.",Action|War,https://image.tmdb.org/t/p/w200/uCAaaAQEDrTllYR4dtsEsfQa8We.jpg,2023-01-27,시수
6,"길바닥에서 지친 베스가 비좁은 아파트에서 세 아이를 키우는 엘리를 뒤늦게 찾아간다. 아파트에서 신비로운 책이 발견되며 육체에 사로잡힌 악마가 발견되며, 베스가 가장 악몽 같은 버전의 모성애에 직면하게 되면서 생존에 위한 원초적인 싸움에 내몰리게 되는데…",Thriller|Horror,https://image.tmdb.org/t/p/w200/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,2023-04-12,이블 데드 라이즈
7,"아프가니스탄에서 적들에게 습격을 받아 죽을뻔했던 미 육군 병사가 현지 통역사의 도움과 노력으로 살아나 미국으로 돌아가게 되는데, 그 통역사와 가족은 약속대로 미국으로 오지 못한 사실을 알게 되자, 자신이 직접 그 가족들을 구하기 위해 아프가니스탄으로 향한다.",War|Action|Thriller,https://image.tmdb.org/t/p/w200/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,2023-04-19,더 커버넌트
8,,Action|Crime|Thriller|Mystery,https://image.tmdb.org/t/p/w200/mFp3l4lZg1NSEsyxKrdi0rNK8r1.jpg,2023-04-06,투 캐치 어 킬러
9,"동남아시아로 도피한 인터폴 수배자들을 이송할 움직이는 교도소 프론티어 타이탄. 극악무도한 이들과 베테랑 형사들이 필리핀 마닐라 항구에 모이고 탈출을 꿈꾸는 종두, 한국으로 돌아가야만 하는 도일을 비롯해 이들은 각자의 목적과 경계심을 품고 탑승한다. 한국으로 향하던 중, 태평양 한 가운데에서 이들에게는 지금까지 보지 못한 극한의 상황과 마주하게 되는데…",Action|Thriller|Horror,https://image.tmdb.org/t/p/w200/op2y1gvqKhAh4yAPLwc4PlX3XRv.jpg,2022-09-21,늑대사냥
10,"가모라를 잃고 슬픔에 빠져 있던 피터 퀼이 위기에 처한 은하계와 동료를 지키기 위해 다시 한 번 가디언즈 팀과 힘을 모으고, 성공하지 못할 경우 그들의 마지막이 될지도 모르는 미션에 나서는 이야기.",Science Fiction|Adventure|Action,https://image.tmdb.org/t/p/w200/b7epV2cQZVIR4u5VZraDwD0AgiE.jpg,2023-05-03,가디언즈 오브 갤럭시: Volume 3
